ASPECT	CODE	MEASUREMENT_SCALE	DESCRIPTION	ASPECT_KEYWORDS	POSITIVE_SENTIMENT_KEYWORDS	NEGATIVE_SENTIMENT_KEYWORDS	NEUTRAL_SENTIMENT_KEYWORDS
AMENITY	AM_ENT	Entertainment & Recreation	Entertainment and recreational facilities/services	entertainment, kids zone, playground, game room, karaoke, netflix, TV, cinema	fun, enjoyable, entertaining, exciting	boring, limited, outdated	okay, standard, average
AMENITY	AM_TRANSPORT	Transportation & Parking	Transportation support and parking convenience	parking, shuttle, transport, airport transfer, taxi service, valet	convenient, punctual, spacious, smooth	unavailable, limited, delayed, difficult	available, normal, acceptable
AMENITY	AM_ROOM_UTIL	In-room Utilities	Utilities and appliances available inside guest rooms	minibar, kettle, microwave, coffee maker, refrigerator, TV, kitchen, hairdryer	useful, complete, convenient, functional	missing, limited, unavailable, broken	basic, standard, average
AMENITY	AM_UTILITY	Laundry & Utility Services	Laundry and related utility support services	laundry, washing, ironing, dry cleaning	efficient, fast, convenient	slow, expensive, unavailable	standard, available, acceptable
SERVICE	SER_ATTITUDE	Staff Attitude & Hospitality	Friendliness, politeness, and hospitality of hotel staff	staff, receptionist, concierge, waiter, waitress, employee, housekeeping, manager	friendly, welcoming, polite, helpful, attentive, warm, professional	rude, unfriendly, cold, impolite, disrespectful, careless	professional, normal, standard
SERVICE	SER_OPERATION	Operational Efficiency	Operational processes and service efficiency	check-in, check-out, booking, reservation, process, operation, queue	smooth, efficient, fast, organized, seamless	slow, confusing, delayed, inefficient	acceptable, standard, manageable
SERVICE	SER_SUPPORT	Support & Problem Resolution	Responsiveness and effectiveness in handling customer needs and issues	support, assistance, complaint, issue, solve, response, request, help	responsive, attentive, effective, supportive, proactive	ignored, unresolved, careless, ineffective	manageable, acceptable, normal
SERVICE	SER_COMM	Communication Ability	Communication quality and language ability of staff	communication, English, speaking, language, explanation	clear, understandable, fluent, communicative	poor, difficult, confusing, unclear	basic, understandable, acceptable
EXPERIENCE	EXP_OVERALL	Overall Stay Experience	Overall impression and satisfaction toward the hotel stay	stay, experience, trip, vacation, overall	amazing, satisfying, enjoyable, memorable, wonderful	disappointing, terrible, unpleasant, frustrating	okay, average, fine
EXPERIENCE	EXP_EMOTION	Emotional Experience	Emotional comfort, enjoyment, relaxation, and atmosphere perception	relaxing, memorable, peaceful, enjoyable, atmosphere, comfort	relaxing, pleasant, cozy, peaceful, enjoyable, refreshing	stressful, boring, frustrating, unpleasant, tiring	ordinary, fine, normal
EXPERIENCE	EXP_VALUE	Value for Money	Perceived value relative to money spent and expectations	value, worth, price, affordable, expensive, cost	worth it, affordable, reasonable, valuable	overpriced, costly, wasteful, expensive	fair, moderate, acceptable
EXPERIENCE	EXP_SAFETY	Subjective Safety Feeling	Subjective perception of safety and personal comfort	safe, secure, dangerous, risky, safety	safe, secure, comfortable, reassuring	unsafe, dangerous, risky, uncomfortable	acceptable, manageable, normal
BRANDING	BRA_REPUTE	Brand Reputation & Reliability	Reputation, consistency, and trustworthiness of the hotel brand	brand, reputation, standard, trust, chain hotel	reputable, reliable, trusted, consistent	inconsistent, overrated, unreliable	recognized, known, standard
BRANDING	BRA_LUXURY	Luxury & Premium Perception	Perception of luxury, exclusiveness, and premium quality	luxury, premium, five-star, upscale, prestige	luxurious, premium, elegant, exclusive, high-end	cheap, low-standard, mediocre	standard, business-style, formal
LOYALTY	LOY_RETURN	Revisit Intention	Intention to stay again in the future	return, revisit, stay again, come back, visit again	definitely return, revisit again, come back soon	never return, avoid, not come back	may return, consider, possible
LOYALTY	LOY_RECOMMEND	Recommendation Intention	Intention to recommend the hotel to others	recommend, recommendation, suggest, referral	highly recommend, strongly recommend, definitely recommend	would not recommend, cannot recommend	can recommend, may recommend
LOYALTY	LOY_PREFERENCE	Customer Preference & Attachment	Long-term preference or emotional attachment toward the hotel	favorite, preferred, loyalty, membership, attachment	favorite, loyal, preferred, attached	avoid, switch, dislike	familiar, recognized, regular
